INDIVIDUALS	STRATA
A317-24	Coringa
A318-24	Coringa
A319-24	Coringa
A320-24	Coringa
A321-24	Coringa
A322-24	Coringa
A323-24	Coringa
A324-24	Coringa
A325-24	Coringa
A326-24	Coringa
A327-24	Coringa
A328-24	Coringa
A329-24	Coringa
A330-24	Coringa
A331-24	Coringa
A332-24	Coringa
A333-24	Coringa
A334-24	Coringa
A335-24	Coringa
A336-24	Coringa
A337-24	Coringa
A338-24	Coringa
A339-24	Coringa
A340-24	Coringa
A341-24	Coringa
A342-24	Coringa
A343-24	Coringa
A344-24	Coringa
A345-24	Coringa
A346-24	Coringa
A347-24	Willis
A348-24	Willis
A349-24	Willis
A350-24	Willis
A351-24	Willis
A352-24	Herald
A353-24	Herald
A354-24	Herald
A355-24	Herald
A356-24	Herald
A357-24	Herald
A038-20	Frederick
A039-20	Frederick
A043-20	Frederick
A049-20	Frederick
A101-20	Flinders
A105-20	Flinders
A108-20	Flinders
A112-20	Flinders
A122-20	Flinders
A065-20	Marion
A082-20	Marion
A091-20	Marion
A066-20	Marion
A084-20	Marion
A207-20	Moore
A210-20	Moore
A216-20	Moore
A218-20	Moore
AMIL001-24	GBR
AMIL002-24	GBR
AMIL003-24	GBR
AMIL004-24	GBR
A131-24b	Mellish
A249-24b	Saumarez
A294-24b	Diamond
