Reference,VialID,Reef,Site,Date,Bag,Species,Depth (m),Bleach score,Vial,Year,GPS S,GPS E
1334,A355-24,Herald,1,16/7/2024,21,Acropora,10.7,4,A355,24,16.94348,149.18565
1335,A356-24,Herald,1,16/7/2024,22,Acropora,9.3,4,A356,24,16.94348,149.18565
1340,A357-24,Herald,6,16/7/2024,31,Acropora,8.7,3,A357,24,16.99189,149.13075
,A038-20,Frederick,,,,Acropora,,,,,21.01043,154.34743
,A039-20,Frederick,,,,Acropora,,,,,21.01043,154.34743
,A043-20,Frederick,,,,Acropora,,,,,21.01043,154.34743
,A049-20,Frederick,,,,Acropora,,,,,21.01043,154.34743
,A101-20,Flinders,,,,Acropora,,,,,17.83089,148.51353
,A105-20,Flinders,,,,Acropora,,,,,17.83089,148.51353
,A108-20,Flinders,,,,Acropora,,,,,17.83089,148.51353
,A112-20,Flinders,,,,Acropora,,,,,17.83089,148.51353
,A122-20,Flinders,,,,Acropora,,,,,17.83089,148.51353
,A065-20,Marion,,,,Acropora,,,,,19.00823,152.37038
,A082-20,Marion,,,,Acropora,,,,,19.00823,152.37038
,A091-20,Marion,,,,Acropora,,,,,19.00823,152.37038
,A066-20,Marion,,,,Acropora,,,,,19.00823,152.37038
,A084-20,Marion,,,,Acropora,,,,,19.00823,152.37038
,A207-20,Moore,,,,Acropora,,,,,15.96481,149.19427
,A210-20,Moore,,,,Acropora,,,,,15.96481,149.19427
,A216-20,Moore,,,,Acropora,,,,,15.96481,149.19427
,A218-20,Moore,,,,Acropora,,,,,15.96481,149.19427
,AMIL001-24,GBR,,,,Acropora,,,,,18.4962,147.37608
,AMIL002-24,GBR,,,,Acropora,,,,,18.4962,147.37608
,AMIL003-24,GBR,,,,Acropora,,,,,18.4962,147.37608
,AMIL004-24,GBR,,,,Acropora,,,,,18.4962,147.37608
,A131-24b,Mellish,,,,Acropora,,,,,17.42651,155.85326
,A249-24b,Saumarez,,,,Acropora,,,,,21.9178,153.58452
,A294-24b,Diamond,,,,Acropora,,,,,17.45833,150.94333
